Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Fname,Customer Id,Customer Lname,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode
DEBIT,2,4,132.99,379.98,Advance shipping,0,45,Fishing,Jersey City,EE. UU.,Roy,1792,Rodriguez,Consumer,NJ,9959 Hidden Trace,7305.0,7,Fan Shop,40.70602036,-74.08685303,Europe,Hanover,Alemania,1792,20.0,0.05,399.98,0.35,1,399.98,379.98,132.99,Western Europe,Baja Sajonia,COMPLETE,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class
DEBIT,4,4,77.0,220.0,Shipping on time,0,24,Women's Apparel,Washington,EE. UU.,Mary,10251,Nguyen,Consumer,DC,4852 Velvet Campus,20002.0,5,Golf,38.88521576,-77.12176514,LATAM,Guadalajara,México,10251,30.0,0.12,50.0,0.35,5,250.0,220.0,77.0,Central America,Jalisco,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class
CASH,2,2,208.78,434.96,Shipping on time,0,9,Cardio Equipment,Santa Ana,EE. UU.,Mary,10382,Romero,Consumer,CA,6312 Quaking Panda Wood,92707.0,3,Footwear,33.70137024,-117.8703232,USCA,New York City,Estados Unidos,10382,64.99,0.13,99.99,0.48,5,499.95,434.96,208.78,East of USA,Nueva York,CLOSED,Nike Men's Free 5.0+ Running Shoe,99.99,Second Class
DEBIT,3,4,18.41,55.79,Advance shipping,0,17,Cleats,Corona,EE. UU.,Mary,10498,Smith,Consumer,NY,417 Quiet Grove Ramp,11368.0,4,Apparel,40.74636841,-73.85482025,Europe,Worcester,Reino Unido,10498,4.2,0.07,59.99,0.33,1,59.99,55.79,18.41,Northern Europe,Inglaterra,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
DEBIT,1,0,-33.0,220.0,Late delivery,1,24,Women's Apparel,Hollister,EE. UU.,Mary,10539,Copeland,Consumer,CA,68 Colonial Rabbit Thicket,95023.0,5,Golf,36.9788475,-121.3809204,Europe,Hamburgo,Alemania,10539,30.0,0.12,50.0,-0.15,5,250.0,220.0,-33.0,Western Europe,Hamburgo,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50.0,Same Day
TRANSFER,5,4,-13.44,47.48,Late delivery,1,46,Indoor/Outdoor Games,Compton,EE. UU.,Edward,2084,Wolfe,Corporate,CA,2260 Golden Spring By-pass,90221.0,7,Fan Shop,33.8960495,-118.1990738,Pacific Asia,Gold Coast,Australia,2084,2.5,0.05,49.98,-0.28,1,49.98,47.48,-13.44,Oceania,Queensland,PENDING,O'Brien Men's Neoprene Life Vest,49.98,Standard Class
DEBIT,0,0,9.44,32.54,Shipping on time,0,11,Fitness Accessories,Cincinnati,EE. UU.,Peter,6438,Smith,Consumer,OH,7796 Thunder Forest Villas,45238.0,3,Footwear,39.28839493,-84.3508606,LATAM,Poza Rica de Hidalgo,México,6438,2.45,0.07,34.99,0.29,1,34.99,32.54,9.44,Central America,Veracruz,COMPLETE,Under Armour Hustle Storm Medium Duffle Bag,34.99,Same Day
TRANSFER,4,4,17.85,50.99,Shipping on time,0,17,Cleats,Upland,EE. UU.,Adam,3806,Carson,Home Office,CA,384 Dewy Nectar Trace,91786.0,4,Apparel,34.08917618,-117.6508942,Pacific Asia,Pekanbaru,Indonesia,3806,9.0,0.15,59.99,0.35,1,59.99,50.99,17.85,Southeast Asia,Riau,PENDING,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
PAYMENT,2,4,-126.53,379.98,Advance shipping,0,45,Fishing,Caguas,Puerto Rico,Linda,12418,Livingston,Consumer,PR,3927 Indian Village,725.0,7,Fan Shop,18.28027535,-66.37059784,Europe,Northampton,Reino Unido,12418,20.0,0.05,399.98,-0.33,1,399.98,379.98,-126.53,Northern Europe,Inglaterra,PENDING_PAYMENT,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class
DEBIT,6,4,-385.5,226.76,Late delivery,1,17,Cleats,Toms River,EE. UU.,Mary,10821,Cooper,Consumer,NJ,112 Green Fawn Estates,8753.0,4,Apparel,40.04056168,-74.15887451,USCA,Detroit,Estados Unidos,10821,13.2,0.06,59.99,-1.7,4,239.96,226.76,-385.5,US Center ,Michigan,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
PAYMENT,2,1,40.46,107.89,Late delivery,1,18,Men's Footwear,New Orleans,EE. UU.,Mary,8198,Frank,Consumer,LA,5849 Dewy Mountain Promenade,70117.0,4,Apparel,30.03292656,-90.02655792,LATAM,Santiago de Chile,Chile,8198,22.1,0.17,129.99,0.38,1,129.99,107.89,40.46,South America,Santiago de Chile,PENDING_PAYMENT,Nike Men's CJ Elite 2 TD Football Cleat,129.99,First Class
TRANSFER,3,4,1.69,22.5,Advance shipping,0,7,Hockey,Caguas,Puerto Rico,Michael,2281,Estes,Home Office,PR,4490 Amber Rise,725.0,2,Fitness,18.28059959,-66.37052155,LATAM,Tlalnepantla,México,2281,2.5,0.1,25.0,0.08,1,25.0,22.5,1.69,Central America,México,PENDING,Nike Women's Legend V-Neck T-Shirt,25.0,Standard Class
PAYMENT,2,4,24.57,217.41,Advance shipping,0,46,Indoor/Outdoor Games,Caguas,Puerto Rico,Mary,1193,Smith,Consumer,PR,9359 Burning Hill,725.0,7,Fan Shop,18.21485519,-66.37059021,LATAM,Tuxtla Gutiérrez,México,1193,32.49,0.13,49.98,0.11,5,249.9,217.41,24.57,Central America,Chiapas,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Standard Class
TRANSFER,2,4,58.5,224.99,Advance shipping,0,43,Camping & Hiking,Caguas,Puerto Rico,Mary,1507,Smith,Consumer,PR,436 Noble Shadow Estates,725.0,7,Fan Shop,18.22779083,-66.37057495,USCA,North York,Canada,1507,75.0,0.25,299.98,0.26,1,299.98,224.99,58.5,Canada,Ontario,PROCESSING,Diamondback Women's Serene Classic Comfort Bi,299.98,Standard Class
PAYMENT,5,4,46.07,95.98,Late delivery,1,17,Cleats,New York,EE. UU.,Mary,6071,Wu,Corporate,NY,3810 Honey Swale,10031.0,4,Apparel,40.82476044,-73.94992065,LATAM,Santiago de Chile,Chile,6071,24.0,0.2,59.99,0.48,2,119.98,95.98,46.07,South America,Santiago de Chile,PENDING_PAYMENT,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
TRANSFER,2,4,82.21,283.47,Advance shipping,0,9,Cardio Equipment,Columbus,EE. UU.,Betty,7432,Smith,Consumer,OH,1550 Broad Pine Place,43229.0,3,Footwear,40.08982086,-82.99195862,USCA,New York City,Estados Unidos,7432,16.5,0.06,99.99,0.29,3,299.97,283.47,82.21,East of USA,Nueva York,PENDING,Nike Men's Free 5.0+ Running Shoe,99.99,Standard Class
DEBIT,1,0,56.69,134.98,Late delivery,1,17,Cleats,Caguas,Puerto Rico,Sharon,11509,Wood,Consumer,PR,6076 Shady Bay,725.0,4,Apparel,18.20761299,-66.37052155,Pacific Asia,Estambul,Turquía,11509,44.99,0.25,59.99,0.42,3,179.97,134.98,56.69,West Asia,Estambul,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Same Day
TRANSFER,4,4,16.74,167.37,Shipping on time,0,17,Cleats,Philadelphia,EE. UU.,Benjamin,7392,Trevino,Home Office,PA,3760 Middle Hill,19124.0,4,Apparel,40.01562119,-75.08410645,USCA,New York City,Estados Unidos,7392,12.6,0.07,59.99,0.1,3,179.97,167.37,16.74,East of USA,Nueva York,PROCESSING,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
DEBIT,5,4,4.5,225.0,Late delivery,1,24,Women's Apparel,Mesa,EE. UU.,Steven,4323,Smith,Consumer,AZ,6718 High Panda Dell,85204.0,5,Golf,33.41001129,-111.7717972,Pacific Asia,Coimbatore,India,4323,25.0,0.1,50.0,0.02,5,250.0,225.0,4.5,South Asia,Tamil Nadu,ON_HOLD,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class
DEBIT,3,4,-258.78,387.98,Advance shipping,0,45,Fishing,Brooklyn,EE. UU.,Donald,8325,Smith,Corporate,NY,698 Blue Deer Farms,11218.0,7,Fan Shop,40.65780258,-73.94520569,Pacific Asia,Gold Coast,Australia,8325,12.0,0.03,399.98,-0.67,1,399.98,387.98,-258.78,Oceania,Queensland,ON_HOLD,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class
TRANSFER,2,2,-163.65,105.58,Shipping on time,0,17,Cleats,Saint Louis,EE. UU.,Catherine,9633,Smith,Corporate,MO,1799 Easy Woods,63136.0,4,Apparel,38.78873444,-90.40839386,USCA,Louisville,Estados Unidos,9633,14.4,0.12,59.99,-1.55,2,119.98,105.58,-163.65,South of  USA ,Kentucky,PROCESSING,Perfect Fitness Perfect Rip Deck,59.99,Second Class
TRANSFER,6,4,66.5,189.99,Late delivery,1,48,Water Sports,Marietta,EE. UU.,Mary,5418,Roy,Consumer,GA,6292 Wishing Branch Via,30066.0,7,Fan Shop,34.03212357,-84.51288605,Europe,Firminy,Francia,5418,10.0,0.05,199.99,0.35,1,199.99,189.99,66.5,Western Europe,Auvernia-Ródano-Alpes,PENDING,Pelican Sunstream 100 Kayak,199.99,Standard Class
DEBIT,6,2,-22.1,110.49,Late delivery,1,18,Men's Footwear,Greeley,EE. UU.,Mary,10083,Cooper,Consumer,CO,1846 Clear Bear Falls,80631.0,4,Apparel,40.39059448,-104.7084274,LATAM,Soyapango,El Salvador,10083,19.5,0.15,129.99,-0.2,1,129.99,110.49,-22.1,Central America,San Salvador,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Second Class
PAYMENT,3,4,9.83,126.0,Advance shipping,0,24,Women's Apparel,Chicago,EE. UU.,Matthew,7673,Delgado,Consumer,IL,119 Gentle Wynd,60643.0,5,Golf,41.89460754,-87.77870178,USCA,Park Ridge,Estados Unidos,7673,24.0,0.16,50.0,0.08,3,150.0,126.0,9.83,US Center ,Illinois,PENDING_PAYMENT,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class
DEBIT,6,4,45.0,199.99,Late delivery,1,48,Water Sports,Irving,EE. UU.,Mary,12178,Mcgee,Consumer,TX,8736 Old Deer Trail,75061.0,7,Fan Shop,32.82715988,-97.00611877,Europe,Ginebra,Suiza,12178,0.0,0.0,199.99,0.23,1,199.99,199.99,45.0,Western Europe,Ginebra,ON_HOLD,Pelican Sunstream 100 Kayak,199.99,Standard Class
DEBIT,1,0,130.19,371.98,Late delivery,1,45,Fishing,Bronx,EE. UU.,Michelle,3285,Gilbert,Corporate,NY,1980 Wishing Vale,10472.0,7,Fan Shop,40.83197784,-73.85721588,Europe,Viena,Austria,3285,28.0,0.07,399.98,0.35,1,399.98,371.98,130.19,Western Europe,Viena,COMPLETE,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Same Day
DEBIT,0,0,18.52,56.99,Shipping on time,0,17,Cleats,Caguas,Puerto Rico,Katherine,5789,Smith,Consumer,PR,1399 Cinder Loop,725.0,4,Apparel,18.20446777,-66.37057495,Pacific Asia,Sydney,Australia,5789,3.0,0.05,59.99,0.33,1,59.99,56.99,18.52,Oceania,Nueva Gales del Sur,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Same Day
PAYMENT,4,4,5.54,11.08,Shipping on time,0,74,Toys,Henderson,EE. UU.,Shafira,16981,Valencia,Consumer,NV,9741 Dewy Bluff Maze,89014.0,7,Fan Shop,36.06906128,-115.0822067,Pacific Asia,Mudanjiang,China,16981,0.46,0.04,11.54,0.5,1,11.54,11.08,5.54,Eastern Asia,Heilongjiang,PENDING_PAYMENT,Toys ,11.54,Standard Class
TRANSFER,5,4,2.85,284.98,Late delivery,1,43,Camping & Hiking,Caguas,Puerto Rico,Raymond,10214,Smith,Consumer,PR,5559 Colonial Prairie Manor,725.0,7,Fan Shop,18.20882988,-66.37055206,LATAM,La Romana,República Dominicana,10214,15.0,0.05,299.98,0.01,1,299.98,284.98,2.85,Caribbean,La Romana,PENDING,Diamondback Women's Serene Classic Comfort Bi,299.98,Standard Class
DEBIT,2,2,88.83,188.99,Shipping on time,0,48,Water Sports,Milford,EE. UU.,Raymond,7829,Smith,Consumer,CT,4047 Cozy Falls,6460.0,7,Fan Shop,34.28963089,-84.17045593,Europe,Cologne,Alemania,7829,11.0,0.06,199.99,0.47,1,199.99,188.99,88.83,Western Europe,Renania del Norte-Westfalia,ON_HOLD,Pelican Sunstream 100 Kayak,199.99,Second Class
CASH,6,4,-521.85,208.74,Late delivery,1,70,Men's Clothing,New Braunfels,EE. UU.,Beatrice,18878,Jefferson,Corporate,TX,5776 Hidden Cider Subdivision,78130.0,4,Apparel,29.69708443,-98.12406158,Pacific Asia,Bekasi,Indonesia,18878,2.11,0.01,210.85,-2.5,1,210.85,208.74,-521.85,Southeast Asia,Java Occidental,CLOSED,Men's gala suit,210.85,Standard Class
TRANSFER,5,4,-245.94,163.96,Late delivery,1,29,Shop By Sport,Caguas,Puerto Rico,Lisa,7720,Ramirez,Consumer,PR,4746 Quaking Bear Valley,725.0,5,Golf,18.21931267,-66.37059021,LATAM,Brasília,Brasil,7720,35.99,0.18,39.99,-1.5,5,199.95,163.96,-245.94,South America,Distrito Federal,PROCESSING,Under Armour Girls' Toddler Spine Surge Runni,39.99,Standard Class
CASH,2,4,-148.76,95.98,Advance shipping,0,29,Shop By Sport,Florissant,EE. UU.,Mary,9639,Smith,Home Office,MO,6876 Lazy Wharf,63031.0,5,Golf,38.79660034,-90.34640503,USCA,Amarillo,Estados Unidos,9639,23.99,0.2,39.99,-1.55,3,119.97,95.98,-148.76,US Center ,Texas,CLOSED,Under Armour Girls' Toddler Spine Surge Runni,39.99,Standard Class
DEBIT,2,4,23.49,81.0,Advance shipping,0,33,Golf Shoes,Folsom,EE. UU.,Mary,6386,Smith,Corporate,CA,494 Silent Hills Bank,95630.0,6,Outdoors,38.70620346,-121.1699371,LATAM,Pilar,Brasil,6386,27.0,0.25,108.0,0.29,1,108.0,81.0,23.49,South America,Alagoas,COMPLETE,LIJA Women's Button Golf Dress,108.0,Standard Class
DEBIT,3,4,44.64,93.0,Advance shipping,0,24,Women's Apparel,Caguas,Puerto Rico,Mary,3563,Stout,Home Office,PR,1782 High River Rise,725.0,5,Golf,18.26128006,-66.37054443,Europe,Viena,Austria,3563,7.0,0.07,50.0,0.48,2,100.0,93.0,44.64,Western Europe,Viena,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class
CASH,5,2,31.61,121.56,Late delivery,1,13,Electronics,Brighton,EE. UU.,Eric,1933,Smith,Consumer,MA,3993 Pleasant Beach,2135.0,3,Footwear,40.48749924,-80.04045105,Europe,Tarbes,Francia,1933,6.4,0.05,31.99,0.26,4,127.96,121.56,31.61,Western Europe,Languedoc-Rosellón-Mediodía-Pirineos,CLOSED,Under Armour Women's Ignite PIP VI Slide,31.99,Second Class
DEBIT,5,2,13.22,347.98,Late delivery,1,45,Fishing,Fort Lauderdale,EE. UU.,Adam,7082,Blair,Consumer,FL,9602 Cotton River Manor,33324.0,7,Fan Shop,26.0984993,-80.27095032,Europe,Les Lilas,Francia,7082,52.0,0.13,399.98,0.04,1,399.98,347.98,13.22,Western Europe,Isla de Francia,COMPLETE,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Second Class
DEBIT,2,1,34.68,73.78,Late delivery,1,6,Tennis & Racquet,Chicago,EE. UU.,Matthew,7673,Delgado,Consumer,IL,119 Gentle Wynd,60643.0,2,Fitness,41.89460754,-87.77870178,Africa,Sale,Marruecos,7673,16.2,0.18,44.99,0.47,2,89.98,73.78,34.68,North Africa,Rabat-Salé-Zemur-Zaer,COMPLETE,Nike Men's Comfort 2 Slide,44.99,First Class
TRANSFER,2,1,61.42,127.97,Shipping canceled,0,29,Shop By Sport,Bronx,EE. UU.,Barbara,11185,Smith,Home Office,NY,6894 Heather Estates,10453.0,5,Golf,40.85337067,-73.90963745,Pacific Asia,Gaziantep,Turquía,11185,31.99,0.2,39.99,0.48,4,159.96,127.97,61.42,West Asia,Gaziantep,SUSPECTED_FRAUD,Under Armour Girls' Toddler Spine Surge Runni,39.99,First Class
DEBIT,5,4,-247.94,159.96,Late delivery,1,29,Shop By Sport,Tempe,EE. UU.,Mary,5877,Patel,Consumer,AZ,8711 Dusty Deer Valley,85282.0,5,Golf,33.40329361,-111.9140549,Pacific Asia,Dalian,China,5877,39.99,0.2,39.99,-1.55,5,199.95,159.96,-247.94,Eastern Asia,Liaoning,COMPLETE,Under Armour Girls' Toddler Spine Surge Runni,39.99,Standard Class
CASH,2,2,11.63,37.5,Shipping on time,0,24,Women's Apparel,Caguas,Puerto Rico,Emma,7816,Stout,Corporate,PR,2850 Dewy Forest,725.0,5,Golf,18.2625618,-66.37049866,Europe,Nacka,Suecia,7816,12.5,0.25,50.0,0.31,1,50.0,37.5,11.63,Northern Europe,Estocolmo,CLOSED,Nike Men's Dri-FIT Victory Golf Polo,50.0,Second Class
PAYMENT,4,4,-39.89,56.99,Shipping on time,0,17,Cleats,Hagerstown,EE. UU.,Mary,3330,Johnson,Consumer,MD,9671 Little Chase,21740.0,4,Apparel,39.58020401,-77.72775269,USCA,Carol Stream,Estados Unidos,3330,3.0,0.05,59.99,-0.7,1,59.99,56.99,-39.89,US Center ,Illinois,PENDING_PAYMENT,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
TRANSFER,5,2,180.47,383.98,Late delivery,1,45,Fishing,Hanford,EE. UU.,Mary,9773,Smith,Corporate,CA,9853 Jagged Wharf,93230.0,7,Fan Shop,36.31337357,-119.6345062,LATAM,Valparaíso de Goiás,Brasil,9773,16.0,0.04,399.98,0.47,1,399.98,383.98,180.47,South America,Goiás,PENDING,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Second Class
CASH,1,0,8.37,167.37,Late delivery,1,17,Cleats,Hialeah,EE. UU.,George,10687,Weeks,Corporate,FL,9972 Colonial Common,33010.0,4,Apparel,25.83031082,-80.27851105,USCA,San Francisco,Estados Unidos,10687,12.6,0.07,59.99,0.05,3,179.97,167.37,8.37,West of USA ,California,CLOSED,Perfect Fitness Perfect Rip Deck,59.99,Same Day
DEBIT,2,1,41.0,327.98,Late delivery,1,45,Fishing,Caguas,Puerto Rico,Grace,4992,Smith,Consumer,PR,1996 Easy Parade,725.0,7,Fan Shop,18.22717857,-66.37051392,Pacific Asia,Canberra,Australia,4992,72.0,0.18,399.98,0.13,1,399.98,327.98,41.0,Oceania,Territorio de la Capital Australiana,COMPLETE,Field & Stream Sportsman 16 Gun Fire Safe,399.98,First Class
TRANSFER,4,4,-59.38,131.95,Shipping on time,0,46,Indoor/Outdoor Games,North Tonawanda,EE. UU.,Crystal,6376,Rodriguez,Corporate,NY,1991 Indian Horse Range,14120.0,7,Fan Shop,43.02910233,-78.87342072,USCA,Amarillo,Estados Unidos,6376,17.99,0.12,49.98,-0.45,3,149.94,131.95,-59.38,US Center ,Texas,PROCESSING,O'Brien Men's Neoprene Life Vest,49.98,Standard Class
DEBIT,2,1,85.36,194.0,Late delivery,1,24,Women's Apparel,Las Vegas,EE. UU.,Mary,3078,Smith,Consumer,NV,2839 Red Robin Lookout,89119.0,5,Golf,36.13700867,-115.1615906,Africa,Lagos,Nigeria,3078,6.0,0.03,50.0,0.44,4,200.0,194.0,85.36,West Africa,Lagos,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50.0,First Class
PAYMENT,2,4,34.45,118.78,Advance shipping,0,17,Cleats,Caguas,Puerto Rico,Russell,11079,Smith,Corporate,PR,753 Iron Deer Grounds,725.0,4,Apparel,18.20329475,-66.37050629,USCA,Philadelphia,Estados Unidos,11079,1.2,0.01,59.99,0.29,2,119.98,118.78,34.45,East of USA,Pensilvania,PENDING_PAYMENT,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
PAYMENT,4,4,25.12,55.83,Shipping on time,0,60,Baby ,Caguas,Puerto Rico,Maggy,17716,Donaldson,Consumer,PR,8497 Emerald Grove Pines,725.0,4,Apparel,18.28526115,-66.03705597,Pacific Asia,Tangshan,China,17716,3.25,0.06,59.08,0.45,1,59.08,55.83,25.12,Eastern Asia,Hebei,PENDING_PAYMENT,Baby sweater,59.08,Standard Class
PAYMENT,3,4,-16.63,83.16,Advance shipping,0,7,Hockey,Moline,EE. UU.,Mary,6301,Weaver,Corporate,IL,1213 Quaking Plaza,61265.0,2,Fitness,41.47153473,-90.51631165,USCA,Jackson,Estados Unidos,6301,4.84,0.06,22.0,-0.2,4,88.0,83.16,-16.63,US Center ,Michigan,PENDING_PAYMENT,Nike Dri-FIT Crew Sock 6 Pack,22.0,Standard Class
TRANSFER,5,4,29.57,118.29,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,Steven,11346,Smith,Corporate,PR,8944 Misty Willow Point,725.0,4,Apparel,18.29310036,-66.37062073,Pacific Asia,Surabaya,Indonesia,11346,11.7,0.09,129.99,0.25,1,129.99,118.29,29.57,Southeast Asia,Java Oriental,PROCESSING,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class
TRANSFER,5,4,16.31,130.5,Late delivery,1,24,Women's Apparel,Quincy,EE. UU.,Michael,10669,Cowan,Home Office,IL,7597 Golden Dale Nook,62301.0,5,Golf,40.02307129,-91.36735535,USCA,Rockford,Estados Unidos,10669,19.5,0.13,50.0,0.13,3,150.0,130.5,16.31,US Center ,Illinois,PROCESSING,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class
DEBIT,2,1,20.79,148.5,Late delivery,1,24,Women's Apparel,Potomac,EE. UU.,Debra,10796,Hardy,Consumer,MD,5744 Honey Pine Key,20854.0,5,Golf,38.33084488,-77.05139923,Europe,Verdun,Francia,10796,1.5,0.01,50.0,0.14,3,150.0,148.5,20.79,Western Europe,Alsacia-Champaña-Ardenas-Lorena,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50.0,First Class
DEBIT,4,4,101.84,290.98,Shipping on time,0,43,Camping & Hiking,West Jordan,EE. UU.,Theresa,2021,Smith,Corporate,UT,4448 Bright Pike,84084.0,7,Fan Shop,40.62195587,-111.9332733,USCA,San Francisco,Estados Unidos,2021,9.0,0.03,299.98,0.35,1,299.98,290.98,101.84,West of USA ,California,COMPLETE,Diamondback Women's Serene Classic Comfort Bi,299.98,Standard Class
TRANSFER,1,0,-874.91,499.95,Late delivery,1,9,Cardio Equipment,Caguas,Puerto Rico,Joshua,2155,Mckinney,Corporate,PR,2858 Cinder Path,725.0,3,Footwear,18.27447891,-66.37055969,Pacific Asia,Zhumadian,China,2155,0.0,0.0,99.99,-1.75,5,499.95,499.95,-874.91,Eastern Asia,Henan,PENDING,Nike Men's Free 5.0+ Running Shoe,99.99,Same Day
DEBIT,3,2,15.42,136.45,Late delivery,1,46,Indoor/Outdoor Games,Vega Baja,Puerto Rico,Vincent,6314,Williams,Home Office,PR,8860 Thunder Link,693.0,7,Fan Shop,18.44484711,-66.38641357,Africa,Cairo,Egipto,6314,13.49,0.09,49.98,0.11,3,149.94,136.45,15.42,North Africa,El Cairo,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,Second Class
CASH,1,0,14.7,49.0,Late delivery,1,24,Women's Apparel,Seattle,EE. UU.,Brenda,6200,Robles,Consumer,WA,6587 Crystal Horse Gate,98115.0,5,Golf,47.67869949,-122.3217621,LATAM,Pinar del Río,Cuba,6200,1.0,0.02,50.0,0.3,1,50.0,49.0,14.7,Caribbean,Pinar del Río,CLOSED,Nike Men's Dri-FIT Victory Golf Polo,50.0,Same Day
DEBIT,4,4,101.99,339.98,Shipping on time,0,45,Fishing,Caguas,Puerto Rico,Bruce,12375,Moore,Consumer,PR,7627 High Bluff End,725.0,7,Fan Shop,18.29094124,-66.37059021,LATAM,Buenos Aires,Argentina,12375,60.0,0.15,399.98,0.3,1,399.98,339.98,101.99,South America,Buenos Aires,COMPLETE,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class
DEBIT,6,4,38.66,114.39,Late delivery,1,18,Men's Footwear,Roseburg,EE. UU.,Raymond,6782,Vaughn,Consumer,OR,2762 Broad Panda Terrace,97470.0,4,Apparel,43.24291229,-123.3529205,Europe,Viena,Austria,6782,15.6,0.12,129.99,0.34,1,129.99,114.39,38.66,Western Europe,Viena,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class
CASH,3,4,17.28,63.98,Advance shipping,0,29,Shop By Sport,Salina,EE. UU.,Katherine,11803,Smith,Consumer,KS,5777 Pleasant Common,67401.0,5,Golf,38.81181717,-97.72869873,Europe,Bilbao,España,11803,16.0,0.2,39.99,0.27,2,79.98,63.98,17.28,Southern Europe,País Vasco,CLOSED,Under Armour Girls' Toddler Spine Surge Runni,39.99,Standard Class
PAYMENT,6,4,83.7,185.99,Late delivery,1,48,Water Sports,Caguas,Puerto Rico,Mary,138,Dawson,Consumer,PR,9544 Noble Spring Route,725.0,7,Fan Shop,18.22758102,-66.04357147,Europe,Brest,Francia,138,14.0,0.07,199.99,0.45,1,199.99,185.99,83.7,Western Europe,Bretaña,PENDING_PAYMENT,Pelican Sunstream 100 Kayak,199.99,Standard Class
DEBIT,4,4,13.1,48.5,Shipping on time,0,24,Women's Apparel,Gilroy,EE. UU.,Mary,4338,Michael,Corporate,CA,9666 Colonial Hickory Thicket,95020.0,5,Golf,37.01370621,-121.5893478,Europe,Saint-Avold,Francia,4338,1.5,0.03,50.0,0.27,1,50.0,48.5,13.1,Western Europe,Alsacia-Champaña-Ardenas-Lorena,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class
TRANSFER,5,4,27.98,79.95,Shipping canceled,0,41,Trade-In,Caguas,Puerto Rico,Sharon,12107,Patterson,Consumer,PR,2580 Rustic Bay,725.0,6,Outdoors,18.27624703,-66.37054443,Europe,Bognor Regis,Reino Unido,12107,0.0,0.0,15.99,0.35,5,79.95,79.95,27.98,Northern Europe,Inglaterra,SUSPECTED_FRAUD,Glove It Urban Brick Golf Towel,15.99,Standard Class
DEBIT,2,1,-1.66,127.45,Late delivery,1,46,Indoor/Outdoor Games,Anaheim,EE. UU.,Steven,998,Salinas,Consumer,CA,6091 Harvest Bluff View,92805.0,7,Fan Shop,33.84204102,-117.9182358,Europe,Brighton,Reino Unido,998,22.49,0.15,49.98,-0.01,3,149.94,127.45,-1.66,Northern Europe,Inglaterra,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,First Class
PAYMENT,5,4,39.31,151.17,Late delivery,1,17,Cleats,Virginia Beach,EE. UU.,Richard,4399,Smith,Consumer,VA,9627 Little Terrace,23455.0,4,Apparel,36.91083145,-76.12958527,LATAM,Bayamo,Cuba,4399,28.8,0.16,59.99,0.26,3,179.97,151.17,39.31,Caribbean,Granma,PENDING_PAYMENT,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
PAYMENT,5,4,24.19,50.39,Late delivery,1,17,Cleats,Caguas,Puerto Rico,Mary,10262,Smith,Home Office,PR,5443 Hazy Pond Way,725.0,4,Apparel,18.26457596,-66.37049866,Pacific Asia,Bendigo,Australia,10262,9.6,0.16,59.99,0.48,1,59.99,50.39,24.19,Oceania,Victoria,PAYMENT_REVIEW,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
